ID,Artist
12391,"Hub"
39279,"François Lecocq"
27427,"Geoffrey Stepourenko"
1196,"Brian Blume"
27689,"Peter Y. Bromley"
27686,"Chris Ferguson"
21797,"Mike Russo"
12402,"Stéphane Gantiez"
52070,"Stivo"
28207,"Alexandra Violet"
3737,"Jeffrey D. George"
15323,"Dave Martin"
32708,"Jason Greeno"
44450,"Michael N. Jackson"
9798,"Gary Simpson"
71,"Rodger B. MacGowan"
140,"Mark Simonitch"
6815,"John Kovalic"
31983,"David Martin (II)"
12004,"Shea Ryan"
403,"Dan Smith"
