ID,Category
1116,"Comic Book / Strip"
1046,"Fighting"
1035,"Medieval"
1047,"Miniatures"
1021,"Economic"
1034,"Trains"
1011,"Transportation"
1002,"Card Game"
1030,"Party Game"
1025,"Word Game"
1093,"Novel-based"
1001,"Political"
1016,"Science Fiction"
2725,"Pike and Shot"
1019,"Wargame"
1044,"Collectible Components"
1079,"Humor"
1026,"Negotiation"
