IDGame,IDDesi
68182,546
68182,125
68182,9
68182,547
168788,75733
218479,76971
218479,76578
218479,103893
218479,103894
218479,97628
218479,76227
118536,57793
46255,8251
46255,3877
128667,1581
127997,2
181345,285
40760,8935
40760,2790
35761,79
224821,7011
109291,546
109291,4389
119391,381
146910,70371
146910,50207
1117,7101
16772,2624
